city,companyFullName,companyName,positionName,salary
上海,人英网络（上海）有限公司,The NetCircle,数据挖掘,15k-30k
上海,上海朋数信息科技有限公司,朋数,数据挖掘,8k-15k
上海,深圳狗尾草智能科技有限公司,狗尾草智能科技,数据挖掘工程师,15k-30k
上海,达而观信息科技（上海）有限公司,达观数据,数据挖掘工程师,15k-25k
上海,成都尼毕鲁科技股份有限公司,tap4fun,数据挖掘师,15k-30k
上海,深圳市和讯华谷信息技术有限公司,极光,数据挖掘工程师(上海),12k-24k
上海,上海灿福信息科技发展集团有限公司,上海灿福信息科技发展集团有限公司,数据挖掘,15k-30k
上海,上海贝涛金融信息服务有限公司,贝米钱包,数据挖掘工程师,12k-24k
上海,上海景域文化传播股份有限公司,驴妈妈旅游网,数据挖掘工程师,15k-30k
上海,上海小茄网络科技有限公司,番茄便利,数据挖掘工程师,30k-60k
上海,上海方付通商务服务有限公司,方付通,数据挖掘与分析工程师,15k-30k
上海,北京集奥聚合科技有限公司,集奥聚合（GEO）,数据挖掘工程师,15k-30k
上海,上海晶赞科技发展有限公司,晶赞科技Zamplus,数据挖掘工程师,16k-20k
上海,上海展盟网络科技有限公司,上海展盟,数据挖掘工程师,15k-25k
上海,上海宏原信息科技有限公司,MarcPoint,数据挖掘/统计工程师,10k-20k
上海,人英网络（上海）有限公司,The NetCircle,数据挖掘,15k-30k
上海,上海朋数信息科技有限公司,朋数,数据挖掘,8k-15k
上海,深圳狗尾草智能科技有限公司,狗尾草智能科技,数据挖掘工程师,15k-30k
上海,达而观信息科技（上海）有限公司,达观数据,数据挖掘工程师,15k-25k
上海,成都尼毕鲁科技股份有限公司,tap4fun,数据挖掘师,15k-30k
上海,深圳市和讯华谷信息技术有限公司,极光,数据挖掘工程师(上海),12k-24k
上海,上海灿福信息科技发展集团有限公司,上海灿福信息科技发展集团有限公司,数据挖掘,15k-30k
上海,上海贝涛金融信息服务有限公司,贝米钱包,数据挖掘工程师,12k-24k
上海,上海景域文化传播股份有限公司,驴妈妈旅游网,数据挖掘工程师,15k-30k
上海,上海小茄网络科技有限公司,番茄便利,数据挖掘工程师,30k-60k
上海,上海方付通商务服务有限公司,方付通,数据挖掘与分析工程师,15k-30k
上海,北京集奥聚合科技有限公司,集奥聚合（GEO）,数据挖掘工程师,15k-30k
上海,上海晶赞科技发展有限公司,晶赞科技Zamplus,数据挖掘工程师,16k-20k
上海,上海展盟网络科技有限公司,上海展盟,数据挖掘工程师,15k-25k
上海,上海宏原信息科技有限公司,MarcPoint,数据挖掘/统计工程师,10k-20k
上海,人英网络（上海）有限公司,The NetCircle,数据挖掘开发,20k-35k
上海,上海传英信息技术有限公司,传音控股,数据挖掘工程师,18k-36k
上海,上海游族信息技术有限公司,游族网络,数据挖掘工程师,15k-20k
上海,上海淡红金融科技有限公司,快牛金科,数据挖掘工程师,18k-28k
上海,上海阿几网络技术有限公司,ARKie,数据挖掘工程师,15k-28k
上海,美味不用等（上海）信息科技股份有限公司,美味不用等,数据挖掘工程师,15k-25k
上海,厦门欢乐逛科技股份有限公司,欢乐逛,数据挖掘工程师,25k-50k
上海,上海盈讯科技股份有限公司,网贷之家,数据挖掘工程师,15k-30k
上海,上海嵩恒网络科技有限公司,东方头条,数据挖掘工程师,15k-30k
上海,上海优刻得信息科技有限公司,UCloud,数据平台部-数据挖掘工程师,8k-15k
上海,上海恺英网络科技有限公司,恺英网络,数据挖掘工程师,20k-40k
上海,深圳市和讯华谷信息技术有限公司,极光,高级数据挖掘工程师(上海),20k-35k
